Time, Msgs/s
0, 0
1, 0
2, 0
3, 0
4, 0
5, 644
6, 705
7, 597
8, 371
9, 904
10, 687
11, 711
12, 700
13, 604
14, 474
15, 820
16, 600
17, 392
18, 853
19, 717
20, 696
21, 725
22, 678
23, 640
24, 698
25, 704
26, 720
27, 701
28, 688
29, 405
30, 329
31, 511
32, 519
33, 507
34, 494
35, 509
36, 513
37, 535
38, 521
39, 208
40, 716
41, 539
42, 546
43, 539
44, 536
45, 541
46, 549
47, 548
48, 523
49, 537
50, 520
51, 533
52, 528
53, 531
54, 510
55, 524
56, 195
57, 271
58, 648
59, 680
60, 662
61, 620
62, 535
63, 480
64, 684
65, 586
66, 683
67, 713
68, 720
69, 596
70, 643
71, 665
72, 654
73, 702
74, 752
75, 608
76, 637
77, 569
78, 573
79, 540
80, 605
81, 715
82, 677
83, 612
84, 710
85, 698
86, 674
87, 728
88, 662
89, 709
90, 493
91, 740
92, 650
93, 679
94, 308
95, 59

Time, Msgs/s
0, 0
1, 0
2, 0
3, 0
4, 0
5, 742
6, 537
7, 827
8, 676
9, 696
10, 550
11, 521
12, 573
13, 817
14, 688
15, 692
16, 594
17, 741
18, 637
19, 552
20, 685
21, 651
22, 703
23, 587
24, 637
25, 623
26, 707
27, 633
28, 256
29, 504
30, 524
31, 524
32, 493
33, 507
34, 491
35, 498
36, 502
37, 527
38, 526
39, 531
40, 514
41, 488
42, 547
43, 542
44, 543
45, 543
46, 540
47, 543
48, 538
49, 537
50, 550
51, 551
52, 549
53, 539
54, 518
55, 536
56, 272
57, 365
58, 734
59, 612
60, 683
61, 677
62, 689
63, 606
64, 612
65, 660
66, 567
67, 757
68, 686
69, 620
70, 605
71, 532
72, 526
73, 817
74, 721
75, 659
76, 595
77, 659
78, 721
79, 636
80, 689
81, 724
82, 650
83, 691
84, 628
85, 718
86, 549
87, 490
88, 776
89, 580
90, 581
91, 747
92, 526
93, 652
94, 306
