Time, Msgs/s
0, 0
1, 0
2, 0
3, 0
4, 605
5, 457
6, 539
7, 533
8, 396
9, 411
10, 596
11, 708
12, 496
13, 532
14, 318
15, 192
16, 413
17, 111
18, 337
19, 464
20, 490
21, 519
22, 130
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
31, 0
32, 0
33, 486
34, 614
35, 759
36, 683
37, 641
38, 668
39, 519
40, 530
41, 793
42, 848
43, 651
44, 632
45, 248
46, 540
47, 227
48, 736
49, 685
50, 754
51, 512
52, 242
53, 619
54, 256
55, 31
56, 0
57, 0
58, 0
59, 0
60, 0
61, 0
62, 0
63, 171
64, 1043
65, 1314
66, 1359
67, 1306
68, 1248
69, 1337
70, 1211
71, 879
72, 1112
73, 1219
74, 1153
75, 1232
76, 1350
77, 1281
78, 1170
79, 796
80, 1315
81, 1342
82, 1327
83, 1323
84, 1322
85, 1297
86, 1378
87, 839
88, 851
89, 1267
90, 1342
91, 1327
92, 1287
93, 1100
94, 26
